Source Cell ID,Lat,Long,,Taget Cell ID,Lat,Long
PKLZ14_C,30.71946,76.82852,,AMS199_A,31.62249,74.84667
SHR593_A,31.3839,74.95191,,AMS199_B,31.62249,74.84667
SHR593_B,31.3839,74.95191,,AMS202_A,31.60666,74.92847
SHR593_C,31.3839,74.95191,,AMS202_B,31.60666,74.92847
CHD656_A,30.75023,76.78107,,AMS203_A,31.62296,74.84073
CHD656_B,30.75023,76.78107,,AMS203_B,31.62296,74.84073
CHD656_C,30.75023,76.78107,,AMS203_C,31.62296,74.84073
KSML04_A,31.94281,75.10061,,AMS205_A,31.60919,74.8755
KSML04_B,31.94281,75.10061,,AMS205_B,31.60919,74.8755
KSML04_C,31.94281,75.10061,,AMS207_A,31.65598,74.90876
MOHA67_A,30.67445,76.71951,,AMS207_B,31.65598,74.90876
PKL231_A,30.69047,76.89358,,AMS209_A,31.64357,74.89654
PKL231_B,30.69047,76.89358,,AMS209_B,31.64357,74.89654
PKL231_C,30.69047,76.89358,,AMS210_A,31.63351,74.84494
FTW360_A,30.58864,74.15969,,AMS210_B,31.63351,74.84494
FTW360_B,30.58864,74.15969,,AMS211_A,31.62441,74.83521
FTW360_C,30.58864,74.15969,,AMS211_B,31.62441,74.83521
